Phenotype,sample size,number of cases,number of controls,Type,number of SNPs on autosomes,Reference,Atlas ID,Download link
Depression,"500,199","170,756","329,443",binary,"8,483,301",Howard et al. (2019),4293,https://datashare.is.ed.ac.uk/bitstream/handle/10283/3203/PGC UKB depression genome wide.txt
Autism spectrum disorder,"46,350","18,381","27,969",binary,"9,112,386",Grove et al. 2019,,https://www.med.unc.edu/pgc/download results/
Bipolar disorder,"51,710","20,352","31,358",binary,"13,413,244",Stahl et al. 2019,,https://www.med.unc.edu/pgc/download results/
Alzheimer’s disease,"455,258","71,880","383,378",binary,"13,367,299",Jansen et al. 2019,,https://ctg.cncr.nl/software/summary statistics
Multiple sclerosis,"15,283","4,888","10,395",binary,"7,968,337",Andlauer et al. 2016,,https://owncloud.andlauer.net/index.php/s/64GkNUAHMoeG5oH
Amyotrophic lateral sclerosis,"36,052","12,577","23,475",binary,"8,709,431",van Rheenen et al. 2016,,http://databrowser.projectmine.com/
Schizophrenia,"105,318","40,675","64,643",binary,"8,064,799",Pardiñas et al. 2018,,https://www.med.unc.edu/pgc/download results/
Attention deficit hyperactivity disorder,"225,534","38,691","186,843",binary,"6,774,224",Demontis et al. 2023,,https://ipsych.dk/en/research/downloads
Panic disorder,"9,907","2,147","7,760",binary,"10,151,300",Forstner et al. 2021,,https://www.med.unc.edu/pgc/download results/
Atrial Fibrillation,"1,030,836","60,620","970,216",binary,"33,891,655",Nielsen et al. 2018,4361,wget http://csg.sph.umich.edu/willer/public/afib2018/nielsen-thorolfsdottir-willer-NG2018-AFib-gwas-summary-statistics.tbl.gz -P Atrial-Fibrillation_Nielsen_2018
Smoking Initiation ,"632,802",NA,NA,continuous,"11,802,365",Liu et al. 2019,4314,wget https://conservancy.umn.edu/bitstream/handle/11299/201564/SmokingInitiation.txt.gz
Estimated Glomerular Filtration Rate,"765,348",NA,NA,continuous,"8,276,454",Wuttke et al. 2019,31152163,wget http://ckdgen.imbi.uni-freiburg.de/files/Wuttke2019/20171016_MW_eGFR_overall_ALL_nstud61.dbgap.txt.gz
Sleep Duration ,"446,118",NA,NA,continuous,"14,661,601",Dashti et al. 2019,4272,http://sleepdisordergenetics.org/
Sleep Chronotype ,"449,734",NA,NA,continuous,"11,977,111",Jones et al. 2019,4294,http://sleepdisordergenetics.org/
Estimated bone mineral density ,"426,824",NA,NA,continuous,"13,753,401",Morris et al. 2019,4328,http://www.gefos.org/?q=content/data-release-2018
Fractures,"426,795","53,184","373,611",continuous,"13,970,184",Morris et al. 2019,4329,http://www.gefos.org/?q=content/data-release-2018
Intelligence ,"269,867",NA,NA,continuous,"9,295,118",Savage et al. 2018,3785,https://ctg.cncr.nl/software/summary statistics
